      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2018-06-26 21:36:07,  63642,      59.33,          12,       0.09,     1072.68,        0.20,       99.79,   63642,       0
2018-06-26 21:38:43,  61549,      60.05,          11,       0.19,     1024.96,        0.18,      198.61,   61549,       0
2018-06-26 21:40:34,  61155,      59.62,          11,       0.29,     1025.75,        0.18,      294.46,   61155,       2
2018-06-26 21:44:16,  61159,      59.73,          11,       0.38,     1023.92,        0.18,      391.21,   61159,       0
2018-06-26 21:48:35,  55877,      59.52,          10,       0.52,      938.79,        0.17,      484.03,   55877,       0
2018-06-26 21:55:11,  55885,      59.71,          10,       0.60,      935.94,        0.17,      561.76,   55885,       8
2018-06-26 21:58:25,  54223,      59.98,          10,       0.72,      904.02,        0.17,      647.78,   54223,      30
2018-06-26 22:01:05,  54399,      59.88,          10,       0.81,      908.47,        0.17,      732.01,   54399,      10
2018-06-26 22:06:04,  54796,      59.35,          10,       0.90,      923.27,        0.17,      835.10,   54796,      31
2018-06-26 22:10:34,  49467,      59.31,           9,       1.02,      834.04,        0.15,      850.64,   49467,     102
