      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2018-06-26 15:25:33,  45574,      59.78,           8,       0.13,      762.36,        0.13,       99.56,   45574,       4
2018-06-26 15:28:45,  44061,      59.62,           8,       0.27,      739.03,        0.13,      197.18,   44061,      12
2018-06-26 15:31:54,  43247,      59.29,           7,       0.40,      729.41,        0.12,      292.76,   43247,      44
2018-06-26 15:37:20,  40252,      59.99,           7,       0.57,      670.98,        0.12,      385.49,   40252,      61
2018-06-26 15:40:00,  41915,      60.05,           7,       0.68,      698.00,        0.12,      476.77,   41915,     221
2018-06-26 15:48:39,  40197,      60.08,           7,       0.83,      669.06,        0.12,      552.04,   40197,     307
2018-06-26 15:50:49,  39316,      59.45,           7,       0.98,      661.33,        0.12,      647.15,   39316,     384
2018-06-26 15:54:59,  36088,      59.79,           6,       1.18,      603.58,        0.10,      711.84,   36089,     474
2018-06-26 15:58:57,  37602,      59.36,           6,       1.26,      633.46,        0.10,      797.87,   37602,     468
2018-06-26 16:03:14,  38059,      59.60,           6,       1.35,      638.57,        0.10,      861.99,   38059,     669
