      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2018-06-26 20:07:52,  73142,      59.17,          14,       0.08,     1236.13,        0.24,       99.71,   73142,       0
2018-06-26 21:15:14,  70541,      59.31,          13,       0.17,     1189.36,        0.22,      198.19,   70541,       0
2018-06-26 21:13:04,  73679,      59.90,          14,       0.24,     1230.03,        0.23,      293.17,   73679,       0
2018-06-26 21:09:22,  71216,      59.14,          13,       0.30,     1204.19,        0.22,      360.25,   71216,      53
2018-06-26 20:41:17,  69588,      60.35,          13,       0.41,     1153.07,        0.22,      472.52,   69588,      15
2018-06-26 20:45:24,  73777,      59.70,          14,       0.44,     1235.80,        0.23,      545.39,   73777,      33
2018-06-26 20:50:22,  71503,      59.86,          13,       0.55,     1194.50,        0.22,      652.07,   71503,      23
2018-06-26 20:55:25,  71398,      59.63,          13,       0.61,     1197.35,        0.22,      730.80,   71398,      44
2018-06-26 21:00:02,  67689,      59.35,          13,       0.70,     1140.51,        0.22,      803.03,   67689,      59
2018-06-26 21:03:59,  68636,      59.25,          13,       0.74,     1158.41,        0.22,      862.36,   68636,     109









