      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2018-06-26 16:08:08,  45924,      59.24,           8,       0.13,      775.22,        0.14,       99.15,   45924,       0
2018-06-26 16:12:47,  45942,      59.58,           8,       0.26,      771.10,        0.13,      197.21,   45942,       0
2018-06-26 16:14:13,  43658,      59.79,           7,       0.40,      730.19,        0.12,      294.84,   43658,       2
2018-06-26 16:16:51,  43336,      59.43,           7,       0.53,      729.19,        0.12,      384.69,   43336,      13
2018-06-26 16:20:25,  42800,      59.79,           7,       0.65,      715.84,        0.12,      467.75,   42800,     120
2018-06-26 16:22:35,  41146,      59.42,           7,       0.81,      692.46,        0.12,      561.97,   41146,     233
2018-06-26 17:12:20,  39287,      59.90,           7,       0.99,      655.88,        0.12,      648.10,   39287,     269
2018-06-26 17:03:55,  40158,      59.48,           7,       1.06,      675.15,        0.12,      718.65,   40158,     395
2018-06-26 16:58:25,  40627,      59.52,           7,       1.18,      682.58,        0.12,      805.55,   40627,     518
2018-06-26 16:55:55,  39357,      59.28,           7,       1.32,      663.92,        0.12,      877.66,   39357,     486



