      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2018-06-26 20:07:52,  70941,      59.10,          12,       0.08,     1200.36,        0.20,       99.76,   70941,       0
2018-06-26 21:15:14,  69741,      59.29,          12,       0.17,     1176.27,        0.20,      198.37,   69741,       0
2018-06-26 21:13:04,  73672,      59.90,          13,       0.24,     1229.92,        0.22,      294.63,   73672,       0
2018-06-26 21:09:22,  70548,      59.14,          12,       0.32,     1192.90,        0.20,      383.82,   70548,      14
2018-06-26 20:41:16,  69425,      59.34,          12,       0.41,     1169.95,        0.20,      484.38,   69425,       5
2018-06-26 20:45:24,  72198,      59.70,          12,       0.47,     1209.35,        0.20,      571.32,   72198,       4
2018-06-26 20:50:22,  69785,      59.86,          12,       0.56,     1165.80,        0.20,      649.74,   69785,      27
2018-06-26 20:55:25,  72034,      59.60,          12,       0.61,     1208.62,        0.20,      734.16,   72034,      45
2018-06-26 21:00:02,  67821,      59.33,          12,       0.71,     1143.11,        0.20,      809.22,   67821,      39
2018-06-26 21:04:00,  70121,      60.24,          12,       0.78,     1164.03,        0.20,      910.25,   70121,      37



