      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2018-06-26 15:25:33,  46177,      59.84,           8,       0.13,      771.67,        0.13,       99.39,   46177,       3
2018-06-26 15:28:45,  45166,      59.67,           8,       0.26,      756.93,        0.13,      197.73,   45166,      18
2018-06-26 15:31:54,  44075,      59.24,           8,       0.39,      744.01,        0.14,      292.19,   44075,      51
2018-06-26 15:37:20,  43671,      59.99,           8,       0.53,      727.97,        0.13,      385.45,   43671,      52
2018-06-26 15:40:00,  40973,      60.06,           7,       0.70,      682.20,        0.12,      480.73,   40973,     248
2018-06-26 15:48:39,  38906,      60.09,           7,       0.85,      647.46,        0.12,      547.71,   38906,     252
2018-06-26 15:50:49,  38055,      59.65,           6,       1.00,      637.97,        0.10,      641.01,   38055,     370
2018-06-26 15:54:59,  40770,      59.84,           7,       1.05,      681.32,        0.12,      718.38,   40770,     454
2018-06-26 15:58:57,  37644,      59.41,           6,       1.27,      633.63,        0.10,      803.62,   37644,     534
2018-06-26 16:03:14,  35842,      59.63,           6,       1.43,      601.07,        0.10,      858.16,   35842,     572
