      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2018-06-26 21:36:07,  62993,      59.35,          11,       0.09,     1061.38,        0.19,       99.76,   62993,       0
2018-06-26 21:38:43,  61261,      60.09,          10,       0.19,     1019.49,        0.17,      198.21,   61261,       0
2018-06-26 21:40:34,  60875,      59.64,          10,       0.29,     1020.71,        0.17,      294.05,   60875,       0
2018-06-26 21:44:16,  60717,      59.78,          10,       0.39,     1015.67,        0.17,      393.55,   60717,       0
2018-06-26 21:48:35,  56496,      59.56,          10,       0.51,      948.56,        0.17,      486.40,   56496,       1
2018-06-26 21:55:11,  55545,      59.72,           9,       0.61,      930.09,        0.15,      564.97,   55545,       2
2018-06-26 21:58:25,  53886,      60.02,           9,       0.72,      897.80,        0.15,      648.31,   53886,       0
2018-06-26 22:01:05,  53392,      59.92,           9,       0.78,      891.05,        0.15,      698.76,   53392,      65
2018-06-26 22:06:05,  56046,      60.38,          10,       0.88,      928.22,        0.17,      815.51,   56046,      45
2018-06-26 22:10:35,  51087,      60.35,           9,       1.06,      846.51,        0.15,      893.82,   51087,     107
