      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2018-06-26 16:08:08,  46105,      59.23,           8,       0.13,      778.41,        0.14,       99.37,   46105,       0
2018-06-26 16:12:47,  45073,      59.61,           8,       0.26,      756.13,        0.13,      197.31,   45073,       0
2018-06-26 16:14:13,  44701,      59.80,           8,       0.39,      747.51,        0.13,      291.01,   44701,       1
2018-06-26 16:16:51,  41989,      59.41,           8,       0.51,      706.77,        0.13,      360.57,   41989,      70
2018-06-26 16:20:25,  43669,      59.81,           8,       0.66,      730.13,        0.13,      478.72,   43669,     176
2018-06-26 16:22:35,  42394,      59.45,           8,       0.79,      713.10,        0.13,      564.62,   42394,     200
2018-06-26 17:12:20,  39801,      59.95,           7,       0.96,      663.90,        0.12,      639.72,   39801,     314
2018-06-26 17:03:56,  40343,      60.50,           7,       1.10,      666.83,        0.12,      731.89,   40343,     280
2018-06-26 16:58:25,  39034,      59.53,           7,       1.23,      655.70,        0.12,      809.04,   39034,     415
2018-06-26 16:55:56,  37348,      60.33,           7,       1.39,      619.06,        0.12,      862.19,   37348,     562





